Station_ID,time,altimeter_set_1,air_temp,dew_point_temp,relative_humidity_set_1,wind_speed,wind_direction,wind_gust_set_1,snow_depth_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,cloud_low_symbol_set_1,cloud_mid_symbol_set_1,cloud_high_symbol_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure,sea_level_pressure_set_1d
KMKE,09/04/2018 16:00 UTC,102167.3,29,,70.17,7.2,210,,,,,,,,,,,,1,,,,10,,METAR KMKE 041600Z AUTO 21014KT 10SM CLR 29/23 A3017,,,,,,,,,,SSW,32.76,,clear,,,,23.02,99528.18,102029.35
KMKE,09/04/2018 16:05 UTC,102167.3,29,,70.17,5.66,220,,,,,,,,,,,,1,,,,10,,METAR KMKE 041605Z AUTO 22011KT 10SM CLR 29/23 A3017,,,,,,,,,,SW,32.76,,clear,,,,23.02,99528.18,102029.35
KMKE,09/04/2018 16:10 UTC,102167.3,29,,70.17,5.14,240,,,,,,,,,,,,1,,,,10,,METAR KMKE 041610Z AUTO 24010KT 10SM CLR 29/23 A3017,,,,,,,,,,WSW,32.76,,clear,,,,23.02,99528.18,102029.35
KMKE,09/04/2018 16:15 UTC,102167.3,29,,66.04,5.14,240,,,,,,,,,,,,1,,,,10,,METAR KMKE 041615Z AUTO 24010KT 10SM CLR 29/22 A3017,,,,,,,,,,WSW,32.02,,clear,,,,22.02,99528.18,102029.37
KMKE,09/04/2018 16:20 UTC,102167.3,29,,70.17,6.17,220,,,,,,,,,,,,1,,,,10,,METAR KMKE 041620Z AUTO 22012KT 10SM CLR 29/23 A3017,,,,,,,,,,SW,32.76,,clear,,,,23.02,99528.18,102029.35
KMKE,09/04/2018 16:25 UTC,102167.3,30,,66.25,5.14,230,,,,,,,,,,,,1,,,,10,,METAR KMKE 041625Z AUTO 23010KT 10SM CLR 30/23 A3017,,,,,,,,,,SW,34.16,,clear,,,,23.03,99528.18,102021.01
KMKE,09/04/2018 16:30 UTC,102167.3,30,,66.25,6.17,210,,,,,,,,,,,,296,,,,10,,METAR KMKE 041630Z AUTO 21012KT 10SM FEW029 30/23 A3017,,,,,,,,,,SSW,34.16,,thin scattered,,,,23.03,99528.18,102021.01
KMKE,09/04/2018 16:35 UTC,102167.3,29,,70.17,5.14,220,,,,,,,,,,,,296,,,,10,,METAR KMKE 041635Z AUTO 22010KT 10SM FEW029 29/23 A3017,,,,,,,,,,SW,32.76,,thin scattered,,,,23.02,99528.18,102029.35
KMKE,09/04/2018 16:40 UTC,102167.3,30,,66.25,4.12,230,,,,,,,,,,,,292,,,,10,,METAR KMKE 041640Z AUTO 23008KT 10SM SCT029 30/23 A3017,,,,,,,,,,SW,34.16,,scattered,,,,23.03,99528.18,102021.01
KMKE,09/04/2018 16:45 UTC,102133.43,31,,62.58,5.14,240,,,,,,,,,,,,292,,,,10,,METAR KMKE 041645Z AUTO 24010KT 10SM SCT029 31/23 A3016,,,,,,,,,,WSW,35.51,,scattered,,,,23.04,99495.19,101978.92
KMKE,09/04/2018 16:50 UTC,102133.43,31,,62.58,5.14,230,8.23,,,,,,,,,,,302,,,,10,,METAR KMKE 041650Z AUTO 23010G16KT 10SM SCT030 31/23 A3016,,,,,,,,,,SW,35.51,,scattered,,,,23.04,99495.19,101978.92
KMKE,09/04/2018 16:52 UTC,102133.43,30.6,22.8,63.25,4.63,230,8.75,,102070,,,,,,,,,302,2502,,,10,,KMKE 041652Z 23009G17KT 10SM SCT030 SCT250 31/23 A3016 RMK AO2  SLP207 T03060228,,,,,,,,,,SW,34.78,,scattered,,,,22.83,99495.19,101982.23
KMKE,09/04/2018 16:55 UTC,102133.43,31,,62.58,7.2,220,9.77,,,,,,,,,,,302,,,,10,,METAR KMKE 041655Z AUTO 22014G19KT 10SM SCT030 31/23 A3016,,,,,,,,,,SW,35.51,,scattered,,,,23.04,99495.19,101978.92
KMKE,09/04/2018 17:00 UTC,102133.43,31,,58.89,6.17,220,8.75,,,,,,,,,,,302,,,,10,,METAR KMKE 041700Z AUTO 22012G17KT 10SM SCT030 31/22 A3016,,,,,,,,,,SW,34.57,,scattered,,,,22.04,99495.19,101978.94
