Station_ID,time,altimeter_set_1,air_temp,dew_point_temp,relative_humidity_set_1,wind_speed,wind_direction,wind_gust_set_1,snow_depth_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,cloud_low_symbol_set_1,cloud_mid_symbol_set_1,cloud_high_symbol_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure,sea_level_pressure_set_1d
KMKE,07/06/2015 00:52 UTC,101625.47,23,15,60.75,4.12,170,,,101570,,,,,,,,,2506,,,,10,,,,,,,,,,,,S,,,thin scattered,,,,14.98,99000.35,101539.32
KMKE,07/06/2015 01:52 UTC,101591.61,22,14,60.51,3.09,180,,,101560,,,,,,,,,2502,,,,9,,,,,,,,,,,,S,,,scattered,,,,13.98,98967.36,101514.19
KMKE,07/06/2015 02:52 UTC,101625.47,22,15,64.54,2.57,190,,,101570,,,,,,5003,,,2502,,,,9,,,,,,,,,,,,S,,,scattered,,,,14.98,99000.35,101548.01
KMKE,07/06/2015 03:52 UTC,101591.61,21,15,68.61,3.6,170,,,101530,,,,,,,,,2502,,,,8,,,,,,,,,,,,S,,,scattered,,,,14.98,98967.36,101522.92
KMKE,07/06/2015 04:52 UTC,101523.88,20,15,72.97,3.6,180,,,101480,,,,,,,,,2502,,,,8,,,,,,,,,,,,S,,,scattered,,,,14.98,98901.38,101464.04
KMKE,07/06/2015 05:52 UTC,101523.88,20,15,72.97,2.57,190,,,101460,,,,,,6009,,,2502,,,,8,,,24.4,19.4,,,,27.8,16.7,,,S,,,scattered,,,,14.98,98901.38,101464.04
KMKE,07/06/2015 06:52 UTC,101591.61,19,15,77.64,1.54,200,,,101540,,,,,,,,,2506,,,,9,,,,,,,,,,,,SSW,,,thin scattered,,,,14.98,98967.36,101540.6
KMKE,07/06/2015 07:52 UTC,101625.47,19,15,77.64,2.06,200,,,101580,,,,,,,,,2506,,,,8,,,,,,,,,,,,SSW,,,thin scattered,,,,14.98,99000.35,101574.45
KMKE,07/06/2015 08:52 UTC,101523.88,19,16,82.77,2.57,200,,,101470,,,,,,8001,,,2506,,,,7,,,,,,,,,,,,SSW,,,thin scattered,,,,15.98,98901.38,101472.89
KMKE,07/06/2015 09:52 UTC,101422.29,18,15,82.65,2.06,150,,,101380,,,,,,,,,2506,,,,7,,,,,,,,,,,,SSE,,,thin scattered,,,,14.98,98802.42,101380.28
KMKE,07/06/2015 10:52 UTC,101523.88,19,16,82.77,2.57,200,,,101480,6,,,,,,,,2502,,,,6,,,,,,,,,,,,SSW,,haze,haze,,,,15.98,98901.38,101472.89
KMKE,07/06/2015 11:52 UTC,101490.02,20,17,82.89,3.09,200,,,101460,6,,,,,6001,,,2503,,,,6,,,20,16.7,,7620,,,,,,SSW,,haze,haze,,,,16.99,98868.4,101430.17
KMKE,07/06/2015 12:52 UTC,101456.15,22,17,73.32,4.63,190,,,101400,6,,,,,,,,2503,,,,6,,,,,,7620,,,,,,S,,haze,haze,,,,16.99,98835.4,101378.79
KMKE,07/06/2015 13:52 UTC,101388.43,23,18,73.5,4.12,190,,,101360,6,,,,,,,,2503,,,,6,,,,,,7620,,,,,,S,,haze,haze,,,,17.99,98769.43,101302.43
KMKE,07/06/2015 14:52 UTC,101422.29,26,19,65.41,6.17,190,10.29,,101350,6,,,,,5009,,,2503,,,,6,,,,,,7620,,,,,,S,,haze,haze,,,,19,98802.42,101310.58
KMKE,07/06/2015 15:52 UTC,101354.56,27,20,65.62,6.17,200,10.29,,101290,,,,,,,,,406,2503,,,7,,,,,,7620,,,,,,SSW,28.5,,broken,,,,20.01,98736.44,101234.47
KMKE,07/06/2015 16:52 UTC,101320.7,28,20,61.9,7.2,190,10.8,,101260,,2503,,,,,,,306,482,,,9,,,,,,7620,,,,,,S,29.66,,broken,,,,20.02,98703.45,101192.27
KMKE,07/06/2015 17:52 UTC,101219.11,29,21,62.13,6.69,200,,,101180,,2002,,,,8017,,,306,552,,,10,,,29.4,20,,,,,,,,SSW,31.37,,scattered,,,,21.02,98604.49,101082.48
KMKE,07/06/2015 18:22 UTC,101252.97,26,20,69.6,7.72,280,17.49,,,77,,,,,,0,,363,444,,,10,,,,,17.49,1097.28,,,,240,,W,,light rain/thunderstorm,light rain/thunderstorm,,,,20,98637.47,101141.42
KMKE,07/06/2015 18:50 UTC,101286.84,24,21,83.37,3.09,210,,,,13,1103,,,,,1.524,,346,902,,,8,,,,,17.49,3352.8,,,,240,,SSW,,light rain,light rain,,,,21,98670.47,101192.27
KMKE,07/06/2015 18:52 UTC,101252.97,24,21,83.37,3.09,220,,,101220,13,1103,,,,,1.524,,366,902,,,9,,,,,17.49,3352.8,,,,240,,SW,,light rain,light rain,,,,21,98637.47,101158.43
KMKE,07/06/2015 19:52 UTC,101151.38,25,21,78.54,4.12,180,,,101090,,1103,,,,,0,,606,706,,,10,,,,,,3352.8,,,,,,S,,,broken,,,,21,98538.5,101048.4
KMKE,07/06/2015 20:52 UTC,101049.79,25,20,73.85,5.66,190,,,101020,,1303,,,,8020,0,1.524,606,856,,,10,,,,,,3962.4,,,,,,S,,,broken,,,,20,98439.54,100946.94
KMKE,07/06/2015 21:52 UTC,101049.79,27,19,61.67,7.72,220,11.32,,101000,,1403,,,,,,,346,852,,,10,,,,,,4267.2,,,,,,SW,28.2,,broken,,,,19.01,98439.54,100930.08
KMKE,07/06/2015 22:52 UTC,101015.92,26,19,65.41,8.23,220,,,100980,,2203,,,,,,,606,1003,,,10,,,,,,3048,,,,,,SW,,,broken,,,,19,98406.54,100904.65
