Station_ID,time,altimeter_set_1,air_temp,dew_point_temp,relative_humidity_set_1,wind_speed,wind_direction,wind_gust_set_1,snow_depth_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,cloud_low_symbol_set_1,cloud_mid_symbol_set_1,cloud_high_symbol_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure,sea_level_pressure_set_1d
KMKE,08/06/2021 01:00 UTC,101591.61,27,,44.89,4.63,230,,,,,,,,,,,,803,1104,,,10,,METAR KMKE 060100Z AUTO 23009KT 10SM BKN080 OVC110 27/14 A3000,,,,2438.4,,,,,,SW,27.12,,overcast,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:05 UTC,101591.61,27,,44.89,5.14,230,,,,,,,,,,,,803,1104,,,10,,METAR KMKE 060105Z AUTO 23010KT 10SM BKN080 OVC110 27/14 A3000,,,,2438.4,,,,,,SW,27.12,,overcast,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:10 UTC,101625.47,27,,44.89,4.12,230,,,,,,,,,,,,803,1104,,,10,,METAR KMKE 060110Z AUTO 23008KT 10SM BKN080 OVC110 27/14 A3001,,,,2438.4,,,,,,SW,27.12,,overcast,,,,14.01,99000.35,101505.16
KMKE,08/06/2021 01:15 UTC,101591.61,27,,44.89,4.63,230,,,,,,,,,,,,802,1103,,,10,,METAR KMKE 060115Z AUTO 23009KT 10SM SCT080 BKN110 27/14 A3000,,,,3352.8,,,,,,SW,27.12,,broken,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:20 UTC,101591.61,27,,44.89,5.14,220,,,,,,,,,,,,806,1003,,,10,,METAR KMKE 060120Z AUTO 22010KT 10SM FEW080 BKN100 27/14 A3000,,,,3048,,,,,,SW,27.12,,broken,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:25 UTC,101591.61,27,,44.89,4.63,220,,,,,,,,,,,,756,1103,,,10,,METAR KMKE 060125Z AUTO 22009KT 10SM FEW075 BKN110 27/14 A3000,,,,3352.8,,,,,,SW,27.12,,broken,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:30 UTC,101591.61,27,,44.89,4.63,210,,,,,,,,,,,,756,1103,,,10,,METAR KMKE 060130Z AUTO 21009KT 10SM FEW075 BKN110 27/14 A3000,,,,3352.8,,,,,,SSW,27.12,,broken,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:35 UTC,101591.61,27,,44.89,4.63,210,,,,,,,,,,,,1103,,,,10,,METAR KMKE 060135Z AUTO 21009KT 10SM BKN110 27/14 A3000,,,,3352.8,,,,,,SSW,27.12,,broken,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:40 UTC,101591.61,27,,44.89,5.14,220,,,,,,,,,,,,1104,,,,10,,METAR KMKE 060140Z AUTO 22010KT 10SM OVC110 27/14 A3000,,,,3352.8,,,,,,SW,27.12,,overcast,,,,14.01,98967.36,101471.33
KMKE,08/06/2021 01:45 UTC,101591.61,27,,44.89,4.63,220,,,,,,,,,,,,1104,,,,10,,METAR KMKE 060145Z AUTO 22009KT 10SM OVC110 27/14 A3000,,,,3352.8,,,,,,SW,27.12,,overcast,,,,14.01,98967.36,101471.33
