Station_ID,time,pressure__D,air_temp,dew_point_temperature,relative_humidity_set_1,wind_speed,wind_direction,wind_gust_set_1,snow_depth_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,cloud_low_symbol_set_1,cloud_mid_symbol_set_1,cloud_high_symbol_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure,sea_level_pressure_set_1d
KMKE,09/10/2019 19:00 UTC,101591.61,23,,88.54,2.57,110,,,,2481,754,,,,,,,166,363,,,4,,METAR KMKE 101900Z AUTO 11005KT 4SM RA BR FEW016 BKN036 OVC075 23/21 A3000,,,,1097.28,,,,,,ESE,,"rain,mist","rain,mist",,,,21,98967.36,101505.38
KMKE,09/10/2019 19:05 UTC,101625.47,24,,88.62,2.06,130,,,,2493,754,,,,,9.144,,166,363,,,6,,METAR KMKE 101905Z AUTO 13004KT 6SM -RA BR FEW016 BKN036 OVC075 24/22 A3001 RMK P0036,,,,1097.28,,,,,,SE,,"light rain,mist","light rain,mist",,,,22,99000.35,101530.56
KMKE,09/10/2019 19:06 UTC,101625.47,23.9,21.7,87.54,1.54,130,,,,2557,754,,,,,9.144,,166,363,,,6,,KMKE 101906Z 13003KT 6SM -TSRA BR FEW016 BKN036CB OVC075 24/22  A3001 RMK AO2 OCNL LTGCGIC OHD TS OHD MOV NE P0036  T02390217,,,,1097.28,,,,,,SE,,"light rain/thunderstorm,mist","light rain/thunderstorm,mist",,,,21.7,99000.35,101531.43
KMKE,09/10/2019 19:10 UTC,101659.34,24,,88.62,0,0,,,,13,754,,,,,9.144,,166,363,,,10,,METAR KMKE 101910Z AUTO 00000KT 10SM -RA FEW016 BKN036 OVC075 24/22 A3002 RMK P0036,,,,1097.28,,,,,,N,,light rain,light rain,,,,22,99033.34,101564.4
KMKE,09/10/2019 19:15 UTC,101659.34,24,,88.62,0,0,,,,,754,,,,,9.144,,166,363,,,10,,METAR KMKE 101915Z AUTO 00000KT 10SM FEW016 BKN036 OVC075 24/22 A3002 RMK P0036,,,,1097.28,,,,,,N,,,overcast,,,,22,99033.34,101564.4
KMKE,09/10/2019 19:20 UTC,101625.47,24,,88.62,2.06,120,,,,,904,,,,,9.398,,186,272,,,9,,METAR KMKE 101920Z AUTO 12004KT 9SM FEW018 SCT027 OVC090 24/22 A3001 RMK P0037,,,,2743.2,,,,,,ESE,,,overcast,,,,22,99000.35,101530.56
KMKE,09/10/2019 19:22 UTC,101659.34,24.4,21.7,84.96,2.57,120,,,,,903,,,,,9.398,,186,272,,,9,,KMKE 101922Z 12005KT 9SM FEW018 SCT027 BKN090 BKN250 24/22 A3002 RMK AO2 LTG DSNT NE RAE11 TSE21 CB DSNT E MOV NE P0037  T02440217,,,,2743.2,,,,,,ESE,,,broken,,,,21.7,99033.34,101560.97
KMKE,09/10/2019 19:25 UTC,101625.47,24,,88.62,3.6,100,,,,,903,,,,,9.398,,186,272,,,9,,METAR KMKE 101925Z AUTO 10007KT 9SM FEW018 SCT027 BKN090 24/22 A3001 RMK P0037,,,,2743.2,,,,,,E,,,broken,,,,22,99000.35,101530.56
KMKE,09/10/2019 19:30 UTC,101625.47,24,,88.62,3.6,110,,,,,903,,,,,9.398,,186,272,,,9,,METAR KMKE 101930Z AUTO 11007KT 9SM FEW018 SCT027 BKN090 24/22 A3001 RMK P0037,,,,2743.2,,,,,,ESE,,,broken,,,,22,99000.35,101530.56
KMKE,09/10/2019 19:35 UTC,101625.47,25,,83.48,2.06,110,,,,,702,,,,,9.398,,276,372,,,8,,METAR KMKE 101935Z AUTO 11004KT 8SM FEW027 SCT037 SCT070 25/22 A3001 RMK P0037,,,,,,,,,,ESE,,,scattered,,,,22,99000.35,101521.99
