Station_ID,time,altimeter_set_1,air_temp,dew_point_temp,relative_humidity_set_1,wind_speed,wind_direction,wind_gust_set_1,snow_depth_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,cloud_low_symbol_set_1,cloud_mid_symbol_set_1,cloud_high_symbol_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure,sea_level_pressure_set_1d
KMKE,06/17/2014 00:52 UTC,101286.84,22.8,,57.27,4.12,150,,,101240,,,,,,,,,2002,2403,,,10,,,,,,7315.2,,,,,,SSE,,,broken,,,,13.88,98670.47,101202.71
KMKE,06/17/2014 01:52 UTC,101320.7,21.7,,63.24,3.6,140,,,101270,,,,,,,,,2003,2503,,,10,,,,,,6096,,,,,,SE,,,broken,,,,14.38,98703.45,101246.09
KMKE,06/17/2014 02:52 UTC,101320.7,21.7,,61.23,3.6,150,,,101280,,,,,,5007,,,2003,2504,,,10,,,,,,6096,,,,,,SSE,,,overcast,,,,13.88,98703.45,101246.1
KMKE,06/17/2014 03:52 UTC,101252.97,20.6,,65.49,2.57,160,,,101210,,1004,,,,,,,476,702,,,10,,,,,,3048,,,,,,SSE,,,overcast,,,,13.87,98637.47,101188.03
KMKE,06/17/2014 04:52 UTC,101219.11,21.7,,68.31,4.12,170,,,101160,,,,,,,,,1002,2204,,,10,,,,,,6705.6,,,,,,S,,,overcast,,,,15.58,98604.49,101144.55
KMKE,06/17/2014 05:52 UTC,101083.65,21.7,,73.27,4.63,160,,,101030,77,2504,,,,8025,0.025,,652,803,0.025,,10,,,22.8,20.6,,2438.4,,30,17.8,,,SSE,,light rain/thunderstorm,light rain/thunderstorm,,,,16.68,98472.52,101009.19
KMKE,06/17/2014 06:52 UTC,101083.65,22.8,,78.7,4.12,180,,,101030,77,1203,,,,,0.508,,702,953,,,9,,,,,,2895.6,,,,,,S,,light rain/thunderstorm,light rain/thunderstorm,,,,18.89,98472.52,100999.62
KMKE,06/17/2014 07:52 UTC,101185.24,19.4,,90.49,5.14,180,,,101130,77,904,,,,,12.446,,553,703,,,5,,,,,16.98,1676.4,,,,230,,S,,light rain/thunderstorm,light rain/thunderstorm,,,,17.79,98571.49,101130.85
KMKE,06/17/2014 08:52 UTC,100948.2,19.4,,87.13,4.12,200,,,100890,77,1104,,,,8013,1.778,14.732,602,903,,,10,,,,,,2743.2,,,,,,SSW,,light rain/thunderstorm,light rain/thunderstorm,,,,17.19,98340.57,100893.94
KMKE,06/17/2014 09:30 UTC,100914.33,19.4,,87.13,4.63,190,,,,,1704,,,,,0.025,,606,1203,,,10,,,,,,3657.6,,,,,,S,,,overcast,,,,17.19,98307.58,100860.1
